CPU utilization for five seconds: 20%/5%; one minute: 14%; five minutes: 10%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
 336 Mwe 408B7210            0          2       0 5564/6000   0 GLBP HA         
 337 Mrd 40CB94A0        69892  108096062       010880/12000  0 TCP Timer       
 338 Lwe 40CCE0B8         1300      18849      6811188/12000  0 TCP Protocols   
 339 Mwe 4092CAF0           20      98500       0 8492/9000   0 HTTP CORE       
 340 Mwe 4091145C            0          2       0 5568/6000   0 HSRP HA         
 341 Mwe 40AA30FC            0          8       010736/12000  0 MRIB RP Proxy   
 342 Mwe 40ADB5A0            0          2       0 5460/6000   0 PIM HA          
 343 Lwe 40759EF8            0          9       0 5584/6000   0 XDR background p
 344 Mwe 42220494       200876     865686     232 4524/6000   0 XDR mcast       
 345 Mwe 4293A1C0       402132    2907970     138 3264/6000   0 IPC LC Message H
 346 Mwe 422368DC            0          8       0 5764/6000   0 XDR RP Ping Back
 347 Mwe 422321E4       551868     513938    1073 4800/6000   0 XDR RP backgroun
 348 Mwe 42235DD4            0          1       0 5756/6000   0 XDR RP Test Back
 349 Mwe 40D05784            0          1       0 5616/6000   0 RETRY_REPOPULATE
 350 Mwe 419E9E24            0          1       0 5476/6000   0 LSD HA Proc     
 351 Mwe 41057E00            0          1       0 5720/6000   0 PPP HA          
 352 Mwe 4105B66C            0          2       0 5572/6000   0 PPP IPC flow con
 353 Mwe 411EF3D0            0          1       0 5740/6000   0 SLB CF process  
 354 Mwe 4142DC08            0          2       0 5568/6000   0 VRRP HA         
 355 Mwe 416BF0AC            0          2       011536/12000  0 CTS DATAPATH    
 356 Mwe 41730834            0          1       0 5592/6000   0 ac_atm_state_eve
 357 Mwe 4183E360            0          1       0 5788/6000   0 Inspect Timer   
 358 Mwe 418D4838            0          9       0 5752/6000   0 IPv6 ACL RP Proc
 359 Mwe 419CC728            0          2       0 5504/6000   0 MFI Comm RP Proc
 360 Mwe 419E060C            0          1       0 5740/6000   0 LDP HA          
 361 Mwe 419E4600            0          2       0 5492/6000   0 MPLS VPN HA Clie
 362 Mwe 419ED094            0          1       0 5584/6000   0 RSVP HA Services
 363 Mwe 419FA158            0          2       0 5368/6000   0 TSPTUN HA       
 364 Mwe 41A2472C            0         16       0 5504/6000   0 Inter Chassis Pr
