
 Note: MAC table entries displayed are getting read from software.
 Use the 'hardware-age' keyword to get information related to 'Age' 

 Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False ,  ~~~ - use 'hardware-age' keyword to retrieve age info 
   VLAN     MAC Address      Type      age     Secure NTFY Ports/SWID.SSID.LID
---------+-----------------+--------+---------+------+----+------------------
* 586      506b.8dec.55d9    dynamic     ~~~      F    F  Po71
* 586      506b.8dec.b619    dynamic     ~~~      F    F  Po71
* 586      506b.8dec.d4f4    dynamic     ~~~      F    F  Po71
* 586      506b.8ded.3ad0    dynamic     ~~~      F    F  Po71
* 586      506b.8ded.98db    dynamic     ~~~      F    F  Po71
* 586      506b.8dee.29ea    dynamic     ~~~      F    F  Po71
* 586      506b.8dee.a62b    dynamic     ~~~      F    F  Po71
* 586      506b.8def.225f    dynamic     ~~~      F    F  Po71
* 586      506b.8df1.0fcd    dynamic     ~~~      F    F  Po71
* 586      506b.8df1.1df2    dynamic     ~~~      F    F  Po71
* 586      506b.8df1.47d0    dynamic     ~~~      F    F  Po71
* 586      506b.8df1.8b0f    dynamic     ~~~      F    F  Po71
* 586      506b.8df1.9c52    dynamic     ~~~      F    F  Po71
* 586      506b.8df2.4160    dynamic     ~~~      F    F  Po71
* 586      506b.8df3.6b6e    dynamic     ~~~      F    F  Po71
* 586      506b.8df5.1654    dynamic     ~~~      F    F  Po71
* 586      506b.8df5.2e16    dynamic     ~~~      F    F  Po71
* 586      506b.8df8.0811    dynamic     ~~~      F    F  Po71
* 586      506b.8df9.37a9    dynamic     ~~~      F    F  Po71
* 586      506b.8dfa.4929    dynamic     ~~~      F    F  Po71
* 586      506b.8dfa.8365    dynamic     ~~~      F    F  Po71
* 586      506b.8dfa.b5f8    dynamic     ~~~      F    F  Po71
* 586      506b.8dfb.6d77    dynamic     ~~~      F    F  Po71
* 586      506b.8dfd.19cf    dynamic     ~~~      F    F  Po71
* 586      506b.8dfd.eeeb    dynamic     ~~~      F    F  Po71
* 586      506b.8dff.d3b2    dynamic     ~~~      F    F  Po71
* 586      506b.8dff.d727    dynamic     ~~~      F    F  Po71
